categorie_bis,companies,noms,titre_com,commentaire,reponses,notes,date_experience,date_commentaire,site,nombre_pages,date_scrap,verified,année_experience,mois_experience,jour_experience,année_commentaire,mois_commentaire,jour_commentaire,leadtime_com_exp
bank,Younited Credit Reviews,Steven,Really cool company,"Really cool company, very friendly on the phone, very helpful, takes time to discuss your questions, very simple process, very transparent, friggin rapid and dependable.  Hmmm, sounds like a winner to me.",Non spécifié,,"Date of experience: September 17, 2024",3 hours ago,https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Eric BRIVOAL,"Site simple et accessible, réponse ultra rapide","Site simple et accessible, demande facile à formuler à condition de choisir l’option accès direct aux comptes bancaires par Younited, sinon scanner ou photographier les justificatifs demandés peut s’avérer compliqué.",Non spécifié,,"Date of experience: September 02, 2024","Sep 7, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Islam,"I'm happy with the phonedeal I got from the company. I wanted a good smartphone that did the basics, and the site recommended one that ticked all the boxes. Speaking with the service team helped me ge","I'm happy with the phone and the deal I got from the company. I wanted a good smartphone that did the basics, and the site recommended one that ticked all the boxes. Speaking with the service team helped me get exactly what I was looking for.The only reason not to give 5 stars is the fact that I had to separately claim for the offered cash back deal, rather than it being automatic, and this info wasn't stated anywhere.",Non spécifié,,"Date of experience: July 19, 2024","Jul 25, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Bernard Joseph Benoza,Dear Younited,"Hi, its a good service and I never imagine that my credit request got approved. . Thank you younited .I definitely recommend this to others..Thank youSorry its English language Have a great day",Non spécifié,,"Date of experience: July 10, 2024","Jul 15, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Very good  i like it,"Date of experience: September 11, 2024",Non spécifié,,"Date of experience: September 11, 2024",A day agoVerified,https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,ousmane oumarou,Merci younited,Ultra méga simple et d'une rapidité efficace merci younited.Je recommande vivement younited.,Non spécifié,,"Date of experience: March 27, 2024","Apr 8, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Duval,Rapide efficace simple un pur bonheur…,Rapide efficace simple un pur bonheur les fonds à disposition à la date prévue respect du beau boulot,"Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,"Date of experience: November 28, 2022","Nov 28, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Exo Saru,Super simple,"Super simple, très rapide, interface Web très facile à utiliser.merci younited à de futur projet 👍😊","Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Alexandra",,"Date of experience: August 17, 2023","Aug 24, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Soso,Younited une procédure simple,Younited permet une alternative qui facilite la vie. La procédure est simple et plutôt rapide.,"Bonjour,Nous vous remercions pour ce commentaire positif. En espérant que vous puissiez recommander Younited auprès de votre entourage.Excellente journée,Amori",,"Date of experience: February 19, 2023","Feb 25, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Michel Lafrechoux,Entire satisfaction,Younited credit gave me the possibility to get a loan relatively rapid.All the people via phone were very efficient and disponible.I have a real good feeling from YounitedThanks,"Hello,Thank you for taking the time to leave us a message.We invite you to leave a review on your country's Trustpilot pageExcellent day,Audrey",,"Date of experience: November 18, 2022","Nov 23, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
